Layout,Wireless/Terminals,Roles/No Roles,2,4,6,8,10,12
Rows,Terminals,No Roles,5.99001663893511,7.98668885191348,8.48585690515807,8.58569051580699,8.58569051580699,8.78535773710482
Rows,Terminals,Roles,4.49251247920133,6.28951747088186,8.88519134775374,8.98502495840266,9.58402662229617,9.58402662229617
Rows,Wireless,No Roles,5.59068219633943,8.68552412645591,8.88519134775374,9.08485856905158,9.38435940099833,9.38435940099833
Rows,Wireless,Roles,4.19301164725458,7.78702163061564,9.38435940099833,9.78369384359401,9.78369384359401,10.1830282861897
Near Inbound,Terminals,No Roles,5.49084858569052,7.38768718801997,8.0865224625624,8.68552412645591,8.98502495840266,9.28452579034942
Near Inbound,Terminals,Roles,5.19134775374376,6.88851913477537,7.68718801996672,7.78702163061564,7.98668885191348,7.88685524126456
Near Inbound,Wireless,No Roles,6.88851913477537,8.68552412645591,8.98502495840266,9.38435940099833,9.58402662229617,9.58402662229617
Near Inbound,Wireless,Roles,5.09151414309484,8.48585690515807,9.28452579034942,9.58402662229617,9.58402662229617,9.58402662229617
Near Outbound,Terminals,No Roles,6.18968386023294,7.48752079866888,8.38602329450915,8.58569051580699,8.98502495840266,8.98502495840266
Near Outbound,Terminals,Roles,5.89018302828619,7.38768718801997,7.88685524126456,8.28618968386023,8.18635607321131,8.18635607321131
Near Outbound,Wireless,No Roles,8.0865224625624,8.68552412645591,8.98502495840266,9.38435940099833,9.38435940099833,9.58402662229617
Near Outbound,Wireless,Roles,6.68885191347754,8.78535773710482,9.58402662229617,9.78369384359401,9.68386023294509,9.78369384359401
