Layout,Wireless/Terminals,Roles/No Roles,2,4,6,8,10,12
Rows,Terminals,No Roles,3.7936772046589,7.18801996672213,10.2828618968386,13.1780366056572,17.4708818635607,20.3660565723794
Rows,Terminals,Roles,3.7936772046589,6.38935108153078,8.68552412645591,10.5823627287854,12.279534109817,15.873544093178
Rows,Wireless,No Roles,4.99168053244592,9.38435940099833,13.0782029950083,21.2645590682196,25.657237936772,26.3560732113145
Rows,Wireless,Roles,4.09317803660566,7.28785357737105,9.78369384359401,11.5806988352745,14.8752079866889,23.7603993344426
Near Inbound,Terminals,No Roles,3.99334442595674,6.98835274542429,10.4825291181364,15.3743760399334,19.1680532445923,21.9633943427621
Near Inbound,Terminals,Roles,4.09317803660566,6.98835274542429,9.28452579034942,11.1813643926789,14.1763727121464,17.3710482529118
Near Inbound,Wireless,No Roles,5.59068219633943,10.1830282861897,17.5707154742096,30.7487520798669,27.9534109816972,31.7470881863561
Near Inbound,Wireless,Roles,4.79201331114809,8.18635607321131,10.4825291181364,12.5790349417637,21.4642262895175,22.9617304492512
Near Outbound,Terminals,No Roles,3.7936772046589,7.38768718801997,10.4825291181364,14.4758735440932,19.0682196339434,22.1630615640599
Near Outbound,Terminals,Roles,4.19301164725458,7.08818635607321,9.28452579034942,11.1813643926789,13.8768718801997,17.2712146422629
Near Outbound,Wireless,No Roles,5.19134775374376,10.0831946755408,16.8718801996672,25.757071547421,27.1547420965058,28.8519134775374
Near Outbound,Wireless,Roles,5.09151414309484,8.38602329450915,10.6821963394343,12.3793677204659,19.7670549084859,23.261231281198
