Layout,Wireless/Terminals,Roles/No Roles,2,4,6,8,10,12
Rows,Terminals,No Roles,39.2579034941764,116.459234608985,213.861896838602,299.149750415973,348.826955074875,381.702163061564
Rows,Terminals,Roles,46.0981697171381,104.908485856905,159.610648918469,220.034941763727,273.432612312812,316.985024958403
Rows,Wireless,No Roles,95.1613976705491,183.131447587354,289.841930116473,357.013311148087,391.138103161398,408.542429284526
Rows,Wireless,Roles,81.8236272878536,126.790349417637,184.487520798669,244.990016638935,302.986688851913,338.168053244592
Near Inbound,Terminals,No Roles,56.3028286189684,123.277870216306,218.970049916805,301.22462562396,358.351081530782,388.138103161398
Near Inbound,Terminals,Roles,52.7104825291181,121.67387687188,193.768718801997,251.10149750416,310.948419301165,346.063227953411
Near Inbound,Wireless,No Roles,65.6139767054908,205.582362728785,315.910149750416,371.354409317804,398.98003327787,414.623960066556
Near Inbound,Wireless,Roles,76.8635607321131,146.316139767055,210.356073211314,274.970049916805,327.648918469218,357.933444259567
Near Outbound,Terminals,No Roles,33.5524126455907,129.790349417637,203.843594009983,305.685524126456,355.940099833611,385.470881863561
Near Outbound,Terminals,Roles,61.216306156406,121.940099833611,191.188019966722,252.440931780366,302.299500831947,340.257903494176
Near Outbound,Wireless,No Roles,47.0016638935108,202.111480865225,315.46921797005,367.951747088186,398.783693843594,412.361064891847
Near Outbound,Wireless,Roles,62.8419301164725,142.830282861897,213.362728785358,271.846921797005,321.512479201331,355.186356073211
