Seconds,Orders Completed,Shipments Unloaded,Storages Used
0,0,0,3
1,0,0,7
2,1,2,9
3,1,2,11
4,2,3,11
5,2,3,14
6,2,4,19
7,2,5,22
8,2,5,27
9,2,7,29
10,2,7,34
11,2,7,36
12,2,8,40
13,2,9,41
14,2,9,44
15,3,10,46
16,4,10,48
17,4,10,50
18,4,11,53
19,4,11,60
20,4,13,62
21,4,13,67
22,4,14,69
23,4,14,72
24,4,15,75
25,4,16,78
26,4,16,81
27,5,16,81
28,5,17,81
29,6,17,84
30,6,18,87
31,6,18,88
32,6,19,93
33,6,19,97
34,6,20,98
35,6,20,102
36,6,20,106
37,6,22,108
38,6,22,110
39,6,22,110
40,7,22,111
41,7,23,112
42,8,23,113
43,8,24,117
44,8,25,119
45,8,25,124
46,8,25,128
47,8,26,128
48,8,27,132
49,8,27,135
50,8,28,137
51,8,28,137
52,9,28,138
53,10,28,141
54,10,28,141
55,10,29,144
56,10,30,148
57,10,31,151
58,10,31,153
59,10,32,156
60,10,32,158
61,10,32,163
62,10,32,163
63,10,33,167
64,11,34,169
65,11,34,168
66,12,34,170
67,12,35,170
68,12,36,175
69,12,36,179
70,12,36,181
71,12,37,181
72,12,37,183
73,12,37,188
74,12,38,192
75,12,39,193
76,12,39,193
77,13,39,195
78,13,39,196
79,14,40,197
80,14,40,199
81,14,41,200
82,14,42,204
83,14,42,207
84,14,42,209
85,14,42,210
86,14,43,212
87,14,43,215
88,14,44,215
89,14,44,217
90,15,44,217
91,15,44,218
92,16,44,221
93,16,45,221
94,16,45,225
95,16,47,227
96,16,47,229
97,16,47,231
98,16,48,234
99,16,48,235
100,16,48,236
101,16,48,238
102,16,48,240
103,17,48,241
104,18,49,242
105,18,49,242
106,18,50,244
107,18,51,246
108,18,51,251
109,18,51,252
110,18,52,255
111,18,52,255
112,18,52,257
113,18,53,259
114,18,53,261
115,19,53,262
116,19,53,263
117,20,54,264
118,20,55,267
119,20,56,267
120,20,56,269
121,20,56,272
122,20,56,275
123,20,56,277
124,20,56,278
