Seconds,Orders Completed,Shipments Unloaded,Storages Used
0,0,0,3
1,0,0,4
2,2,1,7
3,2,1,8
4,2,2,8
5,2,3,10
6,2,3,12
7,2,3,14
8,2,4,18
9,2,4,25
10,2,6,28
11,2,6,29
12,2,7,32
13,2,7,35
14,2,7,36
15,2,7,34
16,2,7,30
17,4,7,30
18,4,7,34
19,4,8,35
20,4,8,41
21,4,10,44
22,4,11,46
23,4,11,52
24,4,11,54
25,4,11,56
26,4,12,60
27,4,12,63
28,4,12,64
29,4,12,63
30,4,13,62
31,6,13,64
32,6,14,65
33,6,15,67
34,6,15,70
35,6,15,73
36,6,16,73
37,6,16,79
38,6,16,82
39,6,16,84
40,6,17,84
41,6,18,85
42,6,18,91
43,6,18,91
44,7,18,90
45,7,18,90
46,8,18,89
47,8,18,90
48,8,18,92
49,8,19,93
50,8,21,98
51,8,21,98
52,8,21,101
53,8,21,103
54,8,22,105
55,8,22,108
56,8,22,110
57,9,22,109
58,9,22,108
59,10,22,109
60,10,22,110
61,10,23,112
62,10,25,114
63,10,25,118
64,10,25,120
65,10,25,122
66,10,26,122
67,10,26,128
68,10,26,129
69,10,26,129
70,10,26,127
71,11,26,126
72,12,26,127
73,12,26,128
74,12,28,130
75,12,29,135
76,12,29,136
77,12,29,138
78,12,29,139
79,12,30,140
80,12,30,144
81,12,30,148
82,12,30,148
83,12,30,147
84,12,30,145
85,14,30,144
86,14,30,145
87,14,30,145
88,14,32,147
89,14,32,150
90,14,32,151
91,14,33,155
92,14,33,155
93,14,33,156
94,14,34,160
95,14,34,162
96,14,34,163
97,14,35,165
98,14,35,163
99,16,35,162
100,16,35,163
101,16,35,164
102,16,36,167
103,16,36,169
104,16,36,170
105,16,37,172
106,16,37,173
107,16,38,173
108,16,38,178
109,16,38,181
110,16,38,181
111,17,38,179
112,17,38,178
113,17,38,177
114,18,38,178
115,18,39,179
116,18,39,179
117,18,39,181
118,18,40,186
119,18,40,187
120,18,41,189
121,18,41,191
122,18,41,193
123,18,42,194
124,18,42,194
125,19,42,195
126,20,42,194
127,20,42,195
128,20,42,196
129,20,43,199
130,20,44,199
131,20,44,203
132,20,44,204
133,20,45,204
134,20,45,207
135,20,45,209
136,20,46,214
137,20,46,214
138,20,46,213
139,20,46,213
140,21,46,213
141,22,46,214
142,22,47,214
143,22,47,215
144,22,48,218
145,22,48,221
146,22,49,222
147,22,49,226
148,22,49,226
149,22,49,229
150,22,50,230
151,22,50,232
152,22,50,232
153,22,50,232
154,24,50,232
155,24,51,232
156,24,51,234
157,24,52,236
158,24,52,238
159,24,52,240
160,24,52,241
161,24,53,242
162,24,53,244
163,24,53,247
164,24,53,248
165,24,53,248
166,24,53,250
167,25,53,250
168,26,53,249
169,26,54,250
170,26,55,251
171,26,56,251
172,26,56,252
173,26,56,257
174,26,56,258
175,26,56,258
176,26,56,260
177,26,57,263
178,26,57,265
179,26,58,267
180,26,58,267
181,26,58,267
182,28,58,266
183,28,58,266
184,28,59,266
185,28,59,269
186,28,60,270
187,28,60,273
188,28,60,275
189,28,60,276
190,28,60,278
191,28,61,278
192,28,61,281
193,28,61,284
194,28,61,283
195,30,61,281
196,30,61,281
197,30,61,282
198,30,62,282
199,30,62,285
200,30,63,287
201,30,63,290
202,30,64,291
203,30,64,293
204,30,65,294
205,30,65,294
206,30,65,296
207,30,65,298
208,30,65,299
209,31,65,300
210,31,66,300
211,32,66,300
212,32,66,300
213,32,67,302
214,32,67,304
215,32,67,307
216,32,67,309
217,32,68,310
218,32,69,310
219,32,69,310
220,32,69,313
221,32,69,317
222,32,69,319
223,32,69,319
224,33,69,315
225,33,69,316
226,34,69,317
227,34,70,317
228,34,70,320
229,34,71,320
230,34,71,321
231,34,72,324
232,34,72,325
233,34,72,328
234,34,72,329
235,34,72,330
236,34,72,331
237,34,72,331
238,34,72,331
239,36,72,329
240,36,73,330
241,36,74,331
242,36,74,331
243,36,74,333
244,36,74,336
245,36,75,336
246,36,75,341
247,36,75,342
248,36,76,344
249,36,76,345
250,36,76,346
251,36,76,345
252,36,76,348
253,37,76,348
254,37,76,348
255,38,77,350
256,38,77,350
257,38,78,352
258,38,78,352
259,38,79,354
260,38,79,355
261,38,79,357
262,38,79,359
263,38,79,360
264,38,79,361
265,38,79,361
266,39,79,361
267,39,80,360
268,40,80,360
269,40,80,360
270,40,81,362
271,40,81,364
272,40,81,367
273,40,82,369
274,40,82,370
275,40,82,372
276,40,82,372
277,40,83,374
278,40,83,375
279,40,83,375
280,40,83,375
281,41,83,374
282,42,83,376
283,42,83,376
284,42,84,377
285,42,85,378
286,42,85,378
287,42,85,378
288,42,85,382
289,42,86,385
290,42,86,387
291,42,86,387
292,42,86,390
293,42,86,391
294,42,86,391
295,43,87,392
296,43,87,393
297,44,87,392
298,44,87,393
299,44,87,393
300,44,88,393
301,44,88,394
302,44,88,394
303,44,88,395
304,44,88,398
305,44,89,402
306,44,89,403
307,44,89,403
308,45,89,402
309,45,89,401
310,46,89,400
311,46,90,400
312,46,90,401
313,46,91,403
314,46,91,403
315,46,91,405
316,46,91,406
317,46,92,408
318,46,92,409
319,46,92,412
320,46,92,411
321,46,92,410
322,47,92,409
323,48,92,411
324,48,92,412
325,48,93,412
326,48,93,413
327,48,94,414
328,48,94,414
329,48,94,415
330,48,94,420
331,48,95,421
332,48,95,422
333,48,95,424
334,48,95,424
335,48,95,425
336,48,95,426
337,49,95,426
338,50,95,425
339,50,95,426
340,50,96,428
341,50,96,428
342,50,97,430
343,50,98,431
344,50,98,432
345,50,98,433
346,50,98,435
347,50,98,436
348,50,98,437
349,50,98,437
350,50,98,437
351,50,98,438
352,51,98,439
353,51,98,439
354,52,99,440
355,52,100,440
356,52,100,442
357,52,101,442
358,52,101,442
359,52,101,443
360,52,101,446
361,52,101,447
362,52,101,450
363,52,101,452
364,52,101,452
365,52,101,453
366,53,101,452
367,54,101,451
368,54,101,451
369,54,102,453
370,54,103,454
371,54,103,454
372,54,104,455
373,54,104,456
374,54,104,458
375,54,104,459
376,54,104,461
377,54,104,462
378,54,104,461
379,55,104,461
380,56,104,461
381,56,104,463
382,56,105,464
383,56,106,466
384,56,106,467
385,56,107,467
386,56,107,467
387,56,107,469
388,56,107,470
389,56,107,472
390,56,107,475
391,56,107,475
392,56,107,474
393,57,107,473
394,58,107,473
395,58,108,473
396,58,108,475
397,58,109,475
398,58,109,476
399,58,109,478
400,58,109,478
401,58,109,483
402,58,109,484
403,58,110,484
404,58,111,485
405,58,111,485
406,58,111,487
407,59,111,487
408,59,111,487
409,60,111,487
410,60,111,487
411,60,113,488
412,60,113,490
