Seconds,Orders Completed,Shipments Unloaded,Storages Used
0,0,0,5
1,0,1,6
2,0,2,7
3,0,2,8
4,1,3,10
5,2,3,13
6,2,3,15
7,2,4,19
8,2,4,21
9,2,4,25
10,2,4,26
11,2,5,29
12,2,5,31
13,2,7,34
14,2,7,36
15,2,7,36
16,2,7,39
17,2,8,39
18,2,8,42
19,3,9,44
20,3,9,45
21,3,9,47
22,3,9,50
23,4,11,52
24,4,11,57
25,4,12,58
26,4,12,59
27,4,12,63
28,4,13,64
29,4,13,68
30,4,13,70
31,4,13,72
32,4,14,74
33,4,15,75
34,5,15,76
35,5,15,76
36,6,16,76
37,6,16,80
38,6,16,81
39,6,17,83
40,6,17,87
41,6,17,87
42,6,17,91
43,6,18,93
44,6,19,93
45,6,19,96
46,6,19,98
47,6,20,98
48,7,20,100
49,7,20,100
50,7,20,100
51,8,20,104
52,8,22,105
53,8,22,106
54,8,22,109
55,8,22,111
56,8,22,114
57,8,22,116
58,8,22,117
59,8,23,119
60,8,24,120
61,8,25,121
62,8,25,123
63,8,25,123
64,8,26,124
65,8,26,126
66,8,26,127
67,10,26,128
68,10,26,128
69,10,26,132
70,10,26,134
71,10,26,135
72,10,27,136
73,10,27,139
74,10,28,141
75,10,29,141
76,10,29,144
77,10,29,144
78,10,30,145
79,10,30,145
80,11,30,148
81,11,31,148
82,11,31,148
83,11,31,153
84,11,31,153
85,12,32,154
86,12,32,157
87,12,32,160
88,12,32,161
89,12,33,162
90,12,33,164
91,12,34,166
92,12,34,166
93,12,34,166
94,13,34,169
95,13,34,171
96,13,35,171
97,13,35,173
98,13,36,173
99,14,36,174
100,14,36,176
101,14,36,180
102,14,36,180
103,14,36,181
104,14,36,183
105,14,37,184
106,14,38,185
107,15,38,184
108,15,39,188
109,15,39,188
110,15,39,188
111,15,39,189
112,15,39,190
113,15,39,192
114,15,40,193
115,15,40,194
116,16,40,196
117,16,40,197
118,16,40,198
119,16,40,199
120,16,41,203
121,16,41,203
122,17,43,202
123,17,43,203
124,17,43,207
125,17,43,208
126,17,43,208
127,17,43,208
128,17,43,209
129,17,44,212
130,17,44,212
131,18,44,213
132,18,45,215
133,18,45,216
134,18,45,217
135,18,45,218
136,18,45,221
137,18,45,221
138,19,45,222
139,19,47,223
140,19,47,225
141,19,47,227
142,19,48,228
143,19,48,228
144,19,48,229
145,19,48,232
146,19,48,232
147,20,49,233
148,20,49,235
149,20,50,236
150,20,50,237
151,20,50,238
152,20,50,238
153,21,50,240
154,21,50,243
155,21,50,244
156,21,51,244
157,21,51,246
158,21,51,248
159,21,51,249
160,21,51,249
161,21,52,250
162,21,52,250
163,22,52,251
164,22,53,255
165,22,54,255
166,22,54,255
167,22,54,256
168,23,54,259
169,23,54,259
170,23,55,260
171,23,55,262
172,23,55,265
173,23,56,265
174,23,56,266
175,23,56,265
176,23,56,266
177,24,56,268
178,24,57,270
179,24,57,270
180,24,57,270
181,24,57,273
182,24,57,273
183,24,57,274
184,25,58,275
185,25,59,277
186,25,59,278
187,25,59,279
188,25,59,279
189,25,59,281
190,25,59,281
191,26,60,281
192,26,60,282
193,26,60,285
194,26,60,288
195,26,61,288
196,26,61,286
197,26,61,287
198,26,61,290
199,27,61,291
200,27,61,291
201,27,61,292
202,27,61,292
203,27,61,293
204,27,62,294
205,27,62,295
206,27,64,295
207,27,64,295
208,28,64,296
209,28,64,299
210,28,64,301
211,28,64,302
212,28,64,301
213,28,64,303
214,28,65,303
215,29,65,304
216,29,65,306
217,29,65,309
218,29,66,310
219,29,66,310
220,29,67,310
221,29,67,311
222,29,67,312
223,30,67,313
224,30,67,315
225,30,68,315
226,30,68,316
227,30,68,314
228,31,68,315
229,31,68,319
230,31,68,320
231,31,69,321
232,31,69,323
233,31,69,323
234,31,70,322
235,31,70,324
236,31,70,325
237,31,70,327
238,31,70,327
239,32,70,327
240,32,70,327
241,32,71,330
242,32,71,330
243,33,71,331
244,33,71,331
245,33,71,331
246,33,71,332
247,33,71,333
248,33,72,335
249,33,72,337
250,33,73,337
251,33,73,337
252,33,74,338
253,34,74,338
254,34,74,340
255,34,74,340
256,34,74,340
257,34,74,341
258,35,74,342
259,35,74,345
260,35,75,346
261,35,75,346
262,35,75,347
263,35,75,348
264,35,76,349
265,35,76,351
266,35,76,351
267,35,76,353
268,35,76,353
269,36,76,354
270,36,77,355
271,36,77,355
272,37,77,357
273,37,78,358
274,37,79,359
275,37,79,359
276,37,79,359
277,37,79,361
278,37,79,364
279,37,79,365
280,37,79,366
281,37,79,364
282,37,79,364
283,37,79,364
284,38,79,366
285,38,80,366
286,38,81,367
287,39,81,366
288,39,81,367
289,39,81,368
290,39,81,369
291,39,81,372
292,39,81,374
293,39,81,378
294,39,82,378
295,39,82,378
296,39,82,377
297,39,83,377
298,40,83,380
299,40,83,381
300,40,83,380
301,40,83,382
302,40,83,382
303,40,83,385
304,40,83,385
305,41,84,385
306,41,84,385
307,41,84,385
308,41,84,386
309,41,84,387
310,41,85,391
311,41,86,391
312,42,86,389
313,42,86,391
314,42,87,391
315,42,87,394
316,42,87,394
317,42,87,394
318,42,87,395
319,42,87,396
320,42,87,397
