Seconds,Orders Completed,Shipments Unloaded,Storages Used
0,0,0,5
1,0,1,9
2,0,2,10
3,1,3,10
4,1,3,11
5,1,3,12
6,2,4,16
7,2,4,18
8,2,4,19
9,2,5,22
10,2,5,26
11,2,6,28
12,2,6,30
13,2,7,33
14,2,7,33
15,2,7,35
16,3,7,36
17,3,8,39
18,3,9,41
19,4,9,44
20,4,9,46
21,4,10,49
22,4,10,52
23,4,11,56
24,4,12,58
25,4,12,61
26,4,12,62
27,4,13,65
28,4,13,65
29,5,13,67
30,5,14,69
31,5,15,70
32,6,15,72
33,6,15,73
34,6,16,74
35,6,16,78
36,6,16,80
37,6,17,81
38,6,17,85
39,6,17,88
40,6,18,90
41,6,18,89
42,7,19,91
43,7,19,92
44,7,19,94
45,8,20,94
46,8,20,95
47,8,20,99
48,8,21,100
49,8,21,103
50,8,22,106
51,8,22,108
52,8,22,111
53,8,23,112
54,9,23,111
55,9,23,114
56,9,24,115
57,9,24,115
58,10,25,117
59,10,25,120
60,10,25,123
61,10,26,124
62,10,26,125
63,10,26,128
64,10,26,129
65,10,27,130
66,11,27,131
67,11,27,131
68,11,27,133
69,12,29,133
70,12,29,136
71,12,29,139
72,12,29,140
73,12,30,142
74,12,30,144
75,12,31,147
76,12,31,147
77,12,31,149
78,12,32,149
79,13,32,150
80,13,32,152
81,13,32,152
82,14,32,154
83,14,33,156
84,14,33,158
85,14,33,160
86,14,33,162
87,14,34,164
88,14,34,165
89,14,35,167
90,14,36,168
91,14,36,166
92,15,36,168
93,15,36,170
94,15,36,170
95,16,36,172
96,16,36,174
97,16,36,176
98,16,37,177
99,16,38,180
100,16,38,181
101,16,38,182
102,16,39,183
103,16,39,184
104,17,39,185
105,17,40,187
106,17,40,186
107,18,40,186
108,18,40,189
109,18,41,191
110,18,41,192
111,18,41,196
112,18,41,198
113,18,42,199
114,18,42,202
115,18,43,203
116,18,43,201
117,19,44,203
118,19,44,204
119,20,44,205
120,20,45,209
121,20,45,210
122,20,45,212
123,20,45,214
124,20,46,215
125,20,46,217
126,20,46,218
127,20,46,222
128,20,47,223
129,21,47,221
130,21,48,221
131,22,48,223
132,22,48,225
133,22,49,225
134,22,49,227
135,22,49,229
136,22,50,231
137,22,50,234
138,22,50,235
139,22,50,235
140,22,50,236
141,22,50,236
142,24,51,237
143,24,52,239
144,24,52,240
145,24,53,242
146,24,53,243
147,24,53,246
148,24,53,247
149,24,53,248
150,24,53,250
151,24,54,251
152,24,54,251
153,24,54,254
154,24,55,249
155,26,55,252
156,26,55,254
157,26,55,256
158,26,56,257
159,26,56,259
160,26,56,260
161,26,56,262
162,26,56,264
163,26,58,266
164,26,58,267
165,26,58,267
166,26,58,267
167,27,58,264
168,28,58,266
169,28,59,269
170,28,59,272
171,28,59,274
172,28,59,274
173,28,59,275
174,28,59,277
175,28,60,278
176,28,61,280
177,28,61,281
178,28,61,281
179,28,62,281
180,30,62,279
181,30,62,280
182,30,62,283
183,30,62,285
184,30,62,289
185,30,62,289
186,30,62,289
187,30,62,293
188,30,64,294
189,30,64,295
190,30,65,295
191,30,65,295
192,32,65,292
193,32,65,293
194,32,65,296
195,32,65,297
196,32,65,299
197,32,66,301
198,32,66,304
199,32,67,304
200,32,67,305
201,32,67,307
202,32,68,308
203,32,68,308
204,33,68,306
205,34,68,307
206,34,69,311
207,34,69,313
208,34,69,313
209,34,69,314
210,34,69,317
211,34,70,318
212,34,70,318
