Seconds,Orders Completed,Shipments Unloaded,Storages Used
0,0,0,0
1,0,0,2
2,0,0,2
3,0,0,0
4,0,0,2
5,0,0,2
6,1,0,2
7,1,0,2
8,1,0,4
9,1,0,4
10,1,1,5
11,1,2,6
12,1,2,6
13,2,2,8
14,2,2,8
15,2,2,8
16,2,2,10
17,2,2,10
18,2,2,10
19,2,2,10
20,3,2,10
21,3,2,11
22,3,2,12
23,3,2,14
24,3,3,14
25,3,4,15
26,3,4,16
27,3,4,17
28,3,4,17
29,3,4,17
30,3,4,18
31,3,4,18
32,3,4,18
33,4,4,18
34,5,4,18
35,5,4,18
36,5,4,20
37,5,4,22
38,5,5,22
39,5,6,24
40,5,6,26
41,5,7,26
42,5,7,27
43,5,7,28
44,5,7,28
45,5,7,28
46,5,7,28
47,5,7,29
48,5,8,29
49,5,8,29
50,5,8,29
51,6,8,30
52,6,8,30
53,6,8,32
54,6,8,32
55,6,8,33
56,7,9,33
57,7,9,35
58,7,9,35
59,7,9,37
60,7,9,37
61,7,9,38
62,7,9,38
63,7,9,37
64,7,9,38
65,8,9,38
66,8,9,38
67,8,9,39
68,8,9,39
69,8,9,40
70,8,9,40
71,8,9,42
72,8,11,42
73,9,11,43
74,9,11,43
75,9,12,45
76,9,12,44
77,9,12,44
78,9,12,45
79,10,12,45
80,10,12,46
81,10,13,47
82,10,13,48
83,10,13,48
84,10,13,49
85,10,13,48
86,10,13,48
87,10,13,49
88,11,13,49
89,11,13,51
90,11,14,51
91,11,14,51
92,11,14,51
93,11,14,53
94,11,14,53
95,12,14,52
96,12,14,54
97,12,14,54
98,12,14,55
99,12,14,56
100,12,15,54
101,12,15,56
102,12,15,55
103,13,15,56
104,13,15,57
105,13,15,57
106,13,15,57
107,13,15,57
108,14,15,56
109,14,15,57
110,14,15,58
111,14,15,59
112,14,15,60
113,14,15,60
114,14,15,60
115,14,15,60
116,14,15,61
117,14,17,61
118,14,17,63
119,15,18,63
120,15,18,63
121,15,18,63
122,15,18,64
123,15,18,63
124,16,18,63
125,16,18,64
126,16,18,64
127,16,18,65
128,16,18,66
129,16,19,67
130,16,19,67
131,16,19,66
132,16,19,67
133,17,19,67
134,17,19,68
135,17,19,67
136,17,19,67
137,18,19,67
138,18,19,67
139,18,19,69
140,18,20,69
141,18,20,69
142,18,20,71
143,18,20,71
144,18,20,71
145,18,20,72
146,18,20,72
147,18,20,73
148,18,21,73
149,18,21,73
150,18,21,74
151,18,21,73
152,19,21,74
153,19,21,74
154,20,21,73
155,20,21,75
156,20,21,75
157,20,21,75
158,20,21,77
159,20,22,77
160,20,22,77
161,20,22,79
162,20,22,79
163,20,22,79
164,20,23,79
165,21,23,78
166,21,23,80
167,21,24,80
168,21,24,79
169,22,24,79
170,22,24,79
171,22,24,80
172,22,24,81
173,22,24,82
174,22,24,82
175,22,24,83
176,22,25,84
177,22,25,84
178,22,25,84
179,22,25,84
180,23,25,84
181,23,25,84
182,23,25,84
183,23,25,84
184,23,25,84
185,23,25,85
186,24,25,84
187,24,25,85
188,24,25,86
189,24,26,86
190,24,26,87
191,24,26,87
192,24,26,87
193,24,26,87
194,24,26,87
195,24,26,88
196,25,26,87
197,25,26,87
198,25,26,89
199,25,26,87
200,25,26,88
201,25,26,88
202,26,27,88
203,26,27,89
204,26,27,89
205,26,27,90
206,26,27,91
207,26,27,91
208,26,27,90
209,26,27,91
210,26,27,91
211,27,27,91
212,27,28,93
213,27,28,93
214,27,28,93
215,27,28,94
216,27,28,93
217,27,28,95
218,28,28,95
219,28,29,95
220,28,29,97
221,28,29,97
222,28,29,97
223,28,29,97
224,28,30,97
225,29,30,97
226,29,31,98
227,29,31,98
228,29,31,99
229,29,31,99
230,29,31,98
231,29,31,99
232,29,31,99
233,30,31,100
234,30,31,101
235,30,32,101
236,30,32,101
237,30,32,102
238,30,32,101
239,30,32,101
240,30,32,103
241,31,32,102
242,31,32,102
243,31,32,103
244,31,32,103
245,31,32,103
246,31,32,104
247,31,32,104
248,31,32,104
249,32,32,105
250,32,32,106
251,32,32,106
252,32,33,107
253,32,33,107
254,32,33,108
255,32,33,108
256,32,33,108
257,32,33,109
258,33,33,110
259,33,34,110
260,33,34,109
261,33,34,110
262,34,35,109
263,34,35,111
264,34,35,111
265,34,35,111
266,34,35,113
267,34,35,113
268,34,35,113
269,34,35,113
270,34,35,113
271,34,35,114
272,35,35,114
273,35,36,115
274,35,36,114
275,35,36,115
276,36,36,114
277,36,36,115
278,36,36,116
279,36,37,117
280,36,37,117
281,36,37,118
282,36,37,119
283,36,37,118
284,36,37,119
285,36,37,119
286,37,37,118
287,37,37,118
288,37,37,118
289,37,38,118
290,37,38,118
291,38,38,119
292,38,38,119
293,38,38,120
294,38,38,121
295,38,38,121
296,38,38,122
297,38,38,122
298,38,38,122
299,38,38,122
300,39,38,122
301,39,38,122
302,39,38,122
303,39,39,122
304,39,39,122
305,40,39,122
306,40,39,123
307,40,39,123
308,40,39,124
309,40,39,124
310,40,39,125
311,40,40,125
312,40,40,125
313,40,40,125
314,40,41,126
315,40,41,126
316,41,41,126
317,41,41,127
318,41,41,126
319,41,41,126
320,42,42,126
321,42,42,126
322,42,42,127
323,42,42,127
324,42,42,128
325,42,42,129
326,42,42,129
327,42,42,130
328,42,42,129
329,42,42,130
330,42,42,130
331,42,42,131
332,43,43,131
333,43,43,131
334,43,43,131
335,43,43,131
336,44,44,132
337,44,44,133
338,44,44,133
339,44,44,135
340,44,44,135
341,44,44,136
342,44,44,137
343,44,44,137
344,44,44,137
345,44,44,137
346,44,44,137
347,45,44,137
348,45,44,137
349,45,44,137
350,45,44,137
351,45,45,137
352,45,45,139
353,46,46,138
354,46,46,139
355,46,46,140
356,46,46,140
357,46,46,140
358,46,46,139
359,46,46,140
360,47,46,140
361,47,46,140
362,47,46,141
363,47,46,142
364,47,46,142
365,47,46,141
366,47,46,141
367,48,46,141
368,48,46,142
369,48,46,143
370,48,46,143
371,48,46,143
372,48,47,143
373,48,47,143
374,48,47,143
375,48,47,143
376,49,47,144
377,49,47,145
378,49,47,145
379,49,47,145
380,49,47,146
381,50,47,145
382,50,48,145
383,50,48,146
384,50,49,146
385,50,49,147
386,50,49,147
387,50,49,147
388,50,49,147
389,50,49,147
390,51,49,148
391,51,49,148
392,51,49,148
393,51,49,148
394,51,49,148
395,51,49,149
396,51,50,149
397,51,50,149
398,51,50,148
399,52,50,150
400,52,50,150
401,52,50,150
402,52,50,150
403,53,50,150
404,53,50,150
405,53,50,150
406,53,50,151
407,53,51,152
408,53,51,152
409,53,51,152
410,53,51,151
411,53,51,152
412,53,51,152
413,54,51,152
414,54,51,153
415,54,51,153
416,54,51,153
417,54,51,153
418,54,51,154
419,54,51,154
420,55,51,153
421,55,51,154
422,55,52,155
423,55,53,156
424,55,53,157
425,55,54,157
426,55,54,157
427,55,54,155
428,56,54,156
429,56,54,157
430,56,54,158
431,56,54,158
432,56,54,158
433,56,54,157
434,57,54,157
435,57,54,158
436,57,54,158
437,57,54,159
438,57,54,160
439,57,55,160
440,57,55,161
441,57,55,161
442,57,55,161
443,58,55,161
444,58,55,162
445,58,55,162
446,58,55,161
447,58,55,161
448,59,55,161
449,59,55,162
450,59,55,162
451,59,56,164
452,59,56,165
453,59,56,165
454,59,56,165
455,59,57,165
456,59,57,165
457,60,57,166
458,60,57,166
459,60,57,166
460,60,57,167
461,60,57,167
462,60,57,165
463,61,57,166
464,61,57,167
465,61,57,167
466,61,57,168
467,61,57,168
468,61,57,168
469,61,58,167
470,61,58,167
471,62,58,167
472,62,58,168
473,62,58,168
474,62,58,168
475,62,58,168
476,63,58,167
477,63,58,168
478,63,58,169
479,63,58,169
480,63,58,170
481,63,58,170
482,63,59,170
483,63,59,171
484,63,60,171
485,63,60,171
486,63,60,171
487,64,60,171
488,64,60,171
489,64,60,171
490,64,60,171
491,65,61,172
492,65,61,172
493,65,61,174
494,65,61,174
495,65,61,175
496,65,61,176
497,65,61,176
498,65,61,176
499,65,61,175
500,65,61,176
501,65,62,176
502,65,62,177
503,65,62,175
504,65,62,177
505,65,62,177
506,66,62,177
507,66,62,177
508,67,62,177
509,67,62,177
510,67,62,177
511,67,62,178
512,67,62,179
513,67,62,179
514,67,62,180
515,67,62,180
516,67,62,181
517,67,63,181
518,67,63,180
519,67,64,180
520,68,64,179
521,68,64,179
522,68,64,180
523,68,64,180
524,69,64,179
525,69,64,180
526,69,64,181
527,69,64,182
528,69,64,182
529,69,64,183
530,69,64,183
531,69,64,184
532,69,64,183
533,69,64,185
534,69,65,184
535,69,65,185
536,69,65,185
537,69,65,184
538,69,65,185
539,69,65,184
540,69,65,186
541,69,66,186
542,70,66,186
543,70,66,187
