Seconds,Orders Completed,Shipments Unloaded,Storages Used
0,0,0,0
1,0,0,1
2,0,0,1
3,0,0,1
4,1,0,1
5,1,0,2
6,1,0,3
7,1,1,5
8,2,2,5
9,2,2,7
10,2,3,9
11,2,3,12
12,2,3,12
13,2,3,15
14,2,4,16
15,2,4,16
16,3,4,16
17,3,4,16
18,3,4,18
19,3,5,20
20,3,5,19
21,4,5,19
22,4,5,20
23,4,5,21
24,4,5,24
25,4,6,27
26,4,6,29
27,4,6,30
28,4,7,29
29,5,7,30
30,5,7,30
31,5,8,34
32,5,8,34
33,5,8,36
34,5,8,35
35,6,8,35
36,6,9,36
37,6,9,40
38,6,10,41
39,6,10,42
40,6,10,45
41,6,10,45
42,7,10,43
43,7,10,43
44,7,11,45
45,7,11,46
46,7,11,46
47,7,11,46
48,8,12,47
49,8,12,48
50,8,12,50
51,8,12,52
52,8,13,54
53,8,13,54
54,8,13,55
55,9,13,55
56,9,13,56
57,9,14,58
58,9,14,60
59,9,14,59
60,10,14,59
61,10,14,59
62,10,14,60
63,10,15,63
64,10,15,64
65,10,16,67
66,10,16,67
67,10,16,67
68,11,16,66
69,11,17,68
70,11,17,70
71,11,17,70
72,11,17,70
73,12,17,70
74,12,17,71
75,12,17,72
76,12,17,76
77,12,17,78
78,12,19,79
79,12,19,79
80,12,19,79
81,13,19,79
82,13,20,80
83,13,20,81
84,13,20,81
85,13,20,81
86,14,20,81
87,14,20,81
88,14,21,83
89,14,21,84
90,14,21,87
91,14,21,88
92,14,21,89
93,14,21,89
94,15,21,88
95,15,22,88
96,15,22,89
97,15,22,90
98,15,22,90
99,16,22,90
100,16,22,90
101,16,23,92
102,16,23,94
103,16,24,95
104,16,24,96
105,16,24,97
106,16,24,96
107,17,24,97
108,17,25,97
109,17,25,99
110,17,25,100
111,17,25,100
112,18,25,100
113,18,25,101
114,18,25,101
115,18,25,102
116,18,25,106
117,18,26,106
118,18,26,108
119,18,26,107
120,19,26,107
121,19,27,107
122,19,28,109
123,19,28,110
124,19,28,109
125,20,28,109
126,20,28,110
127,20,28,110
128,20,28,113
129,20,28,114
130,20,29,114
131,20,29,115
132,21,29,115
133,21,29,115
134,21,29,116
135,21,29,119
136,21,30,119
137,21,30,118
138,22,30,119
139,22,30,119
140,22,31,119
141,22,31,122
142,22,31,123
143,22,32,124
144,22,32,124
145,22,32,124
146,22,32,124
147,23,32,125
148,23,32,125
149,23,32,126
150,23,32,126
151,23,32,126
152,24,32,126
153,24,32,128
154,24,33,128
155,24,33,131
156,24,33,132
157,24,33,132
158,24,33,133
159,24,33,133
160,25,33,133
161,25,34,134
162,25,34,135
163,25,34,135
164,25,34,136
165,26,34,135
166,26,34,135
167,26,36,136
168,26,36,137
169,26,36,139
170,26,36,140
171,26,37,141
172,26,37,142
173,26,37,142
174,27,37,141
175,27,37,141
176,27,37,142
177,27,37,142
178,28,37,142
179,28,38,142
180,28,38,144
181,28,38,145
182,28,38,146
183,28,38,148
184,28,38,149
185,28,39,149
186,28,39,149
187,29,39,149
188,29,39,149
189,29,39,149
190,29,39,150
191,30,39,150
192,30,39,150
193,30,39,151
194,30,40,152
195,30,40,154
196,30,41,155
197,30,41,156
198,30,41,157
199,30,41,158
200,30,41,157
201,31,41,157
202,31,42,157
203,31,42,157
204,32,42,157
205,32,42,157
206,32,42,158
207,32,43,161
208,32,43,161
209,32,43,163
210,32,43,165
211,32,43,165
212,32,43,166
213,32,43,167
214,32,43,166
215,33,43,166
216,33,43,167
217,33,43,167
218,34,43,166
219,34,43,167
220,34,44,168
221,34,45,169
222,34,45,171
223,34,45,172
224,34,46,173
225,34,46,174
226,34,46,174
227,34,46,174
228,35,46,174
229,35,46,174
230,35,46,173
231,35,46,175
232,35,46,175
233,36,47,175
234,36,47,176
235,36,48,177
236,36,48,181
