Seconds,Orders Completed,Shipments Unloaded,Storages Used
0,0,0,0
1,0,0,2
2,0,0,2
3,0,0,2
4,0,0,4
5,0,0,4
6,0,0,5
7,0,0,5
8,0,0,7
9,0,1,7
10,0,1,8
11,0,1,9
12,0,2,10
13,0,2,11
14,1,2,11
15,1,2,13
16,1,2,13
17,1,3,15
18,1,3,15
19,1,3,17
20,1,3,17
21,1,3,18
22,1,3,19
23,1,3,19
24,1,3,21
25,1,3,21
26,1,3,21
27,1,3,21
28,1,3,22
29,2,3,22
30,2,3,23
31,2,3,24
32,2,4,24
33,2,5,25
34,3,6,25
35,3,6,26
36,3,6,27
37,3,6,28
38,3,6,29
39,3,6,30
40,3,6,31
41,3,6,31
42,3,6,30
43,3,6,32
44,3,6,32
45,4,6,33
46,4,7,33
47,4,7,32
48,4,7,33
49,5,7,33
50,5,7,33
51,5,7,34
52,5,7,34
53,5,7,36
54,5,7,36
55,5,7,36
56,5,7,37
57,5,7,37
58,5,7,37
59,5,7,37
60,6,8,37
61,6,8,37
62,6,9,37
63,6,9,38
64,6,9,38
65,6,9,39
66,6,9,39
67,7,9,40
68,7,9,40
69,7,9,42
70,7,9,42
71,7,9,42
72,7,9,43
73,7,9,43
74,7,9,44
75,8,10,44
76,8,10,45
77,8,11,45
78,8,11,45
79,8,11,46
80,8,12,46
81,9,12,46
82,9,12,46
83,9,12,48
84,9,12,48
85,9,12,48
86,9,12,49
87,9,12,48
88,9,12,49
89,9,12,49
90,10,12,49
91,10,12,50
92,10,12,51
93,10,13,49
94,10,13,51
95,10,13,51
96,10,13,50
97,11,13,51
98,11,13,52
99,11,13,53
100,11,13,53
101,11,13,52
102,11,13,53
103,11,13,53
104,12,13,54
105,12,14,55
106,12,14,56
107,12,15,57
108,12,15,57
109,12,15,57
110,12,15,57
111,13,15,58
112,13,15,59
113,13,16,59
114,13,16,61
115,13,16,61
116,13,16,61
117,13,16,62
118,13,17,62
119,14,17,62
120,14,17,62
121,14,17,62
122,14,17,64
123,14,17,63
124,14,17,64
125,14,17,64
126,14,17,64
127,14,17,65
128,15,17,66
129,15,17,67
130,15,17,67
131,15,17,66
132,15,17,66
133,15,17,66
134,16,17,67
135,16,17,67
136,16,18,67
137,16,18,68
138,16,19,69
139,16,19,69
140,16,19,68
141,16,20,68
142,16,20,69
143,17,20,69
144,17,20,69
145,17,20,69
146,17,20,69
147,17,20,70
148,18,20,70
149,18,20,70
150,18,20,71
151,18,20,72
152,18,20,72
153,18,20,73
154,18,20,73
155,18,20,74
156,18,21,74
157,18,21,73
158,19,22,73
159,19,22,73
160,19,22,74
161,19,22,74
162,20,22,74
163,20,22,74
164,20,22,75
165,20,22,75
166,20,22,76
167,20,22,77
168,20,22,77
169,20,22,76
170,20,22,77
171,21,22,76
172,21,22,77
173,21,23,77
174,21,23,76
175,21,23,77
176,21,23,77
177,22,23,77
178,22,23,78
179,22,24,78
180,22,24,78
181,22,24,80
182,22,24,80
183,22,24,79
184,22,24,80
185,23,24,79
186,23,24,80
187,23,24,81
188,23,24,81
189,23,24,81
190,23,24,81
191,24,24,80
192,24,24,81
193,24,24,82
194,24,25,82
195,24,25,82
196,24,25,83
197,24,25,82
198,24,25,82
199,25,25,81
200,25,25,83
201,25,25,83
202,25,25,83
203,25,25,82
204,25,26,82
205,26,26,83
206,26,26,83
207,26,26,83
208,26,26,84
209,26,26,85
210,26,26,85
211,26,26,84
212,26,26,85
213,26,26,85
214,27,26,85
215,27,26,87
216,27,27,87
217,27,27,85
218,27,27,86
219,27,27,86
220,28,28,86
221,28,28,87
222,28,28,87
223,28,28,87
224,28,28,89
225,28,28,89
226,28,28,89
227,28,28,90
228,28,28,89
229,29,28,89
230,29,28,91
231,29,28,91
232,29,28,89
233,29,28,89
234,30,28,90
235,30,28,90
236,30,28,91
237,30,28,91
238,30,29,92
239,30,29,93
240,30,30,93
241,30,30,91
242,30,30,91
243,30,30,92
244,31,30,92
245,31,30,92
246,31,30,93
247,31,30,93
248,31,30,92
249,32,30,93
250,32,30,93
251,32,30,94
252,32,30,94
253,32,30,95
254,32,30,96
255,32,30,96
256,32,30,95
257,32,31,96
258,32,31,97
259,32,31,97
260,32,32,97
261,32,32,96
262,33,32,96
263,33,32,97
264,33,32,98
265,33,32,98
266,34,32,99
267,34,33,99
268,34,33,99
269,34,33,101
270,34,34,101
271,34,34,101
272,34,34,102
273,34,34,102
274,34,34,102
275,34,34,102
276,35,34,102
277,35,34,102
278,35,34,103
279,35,34,103
280,35,34,103
281,35,34,103
282,36,34,103
283,36,34,104
284,36,34,105
285,36,34,105
286,36,34,106
287,36,34,106
288,36,35,105
289,36,35,105
290,37,35,105
291,37,35,106
292,37,35,106
293,37,36,106
294,37,36,106
295,37,36,106
296,37,36,107
297,37,36,107
298,38,36,107
299,38,36,108
300,38,36,109
301,38,36,109
302,38,36,109
303,38,36,109
304,38,36,109
305,39,36,108
306,39,36,109
307,39,36,109
308,39,36,109
309,39,36,111
310,39,37,111
311,39,37,111
312,39,37,112
313,39,37,112
314,39,37,112
315,39,37,114
316,39,37,114
317,39,38,113
318,39,38,113
319,40,38,113
320,40,38,113
321,40,38,113
322,40,38,115
323,40,38,115
324,40,38,115
325,40,38,117
326,40,38,117
327,40,38,117
328,40,38,119
329,40,38,119
330,40,38,119
331,40,38,120
332,40,38,120
333,40,39,120
334,40,39,120
335,40,39,121
336,40,39,122
337,40,40,122
338,40,41,122
339,40,41,123
340,40,41,123
341,40,41,125
342,40,41,125
343,40,41,124
344,41,41,126
345,41,41,126
346,41,41,127
347,41,41,127
348,41,41,127
349,41,41,128
350,41,41,128
351,41,41,129
352,41,41,130
353,41,41,130
354,41,41,130
355,41,41,129
356,41,41,129
357,41,42,130
358,41,43,131
359,41,43,131
360,41,43,131
361,41,43,132
362,41,43,133
363,41,43,134
364,41,43,135
365,41,43,134
366,42,43,134
367,42,43,135
368,42,44,135
369,42,44,135
370,42,44,135
371,42,44,137
372,42,44,137
373,42,44,138
374,42,44,138
375,42,44,138
376,43,44,139
377,43,44,139
378,43,44,139
379,43,44,139
380,43,44,139
381,43,44,139
382,43,44,139
383,43,44,140
384,43,44,141
385,43,44,141
386,43,44,141
387,43,44,141
388,43,44,141
389,43,45,141
390,43,45,141
391,43,45,142
392,43,45,143
393,43,45,143
394,43,45,143
395,43,45,144
396,43,45,145
397,43,45,145
398,43,45,145
399,43,45,145
400,43,45,145
401,43,45,146
402,43,46,147
403,43,46,147
404,43,46,147
405,43,46,147
406,43,46,149
407,43,46,149
408,43,47,149
409,43,47,149
410,43,47,151
411,43,47,151
412,43,47,152
413,43,47,152
414,43,47,152
415,44,47,153
416,44,47,154
417,44,47,154
418,44,47,154
419,45,47,156
420,45,47,156
421,45,47,156
422,45,47,156
423,45,47,157
424,45,48,158
425,45,48,158
426,45,48,157
427,45,48,157
428,45,48,158
429,46,48,159
430,46,49,158
431,46,49,159
432,46,49,159
433,46,49,158
434,47,49,159
435,47,49,159
436,47,50,159
437,47,50,160
438,47,50,161
439,47,50,161
440,47,50,161
441,47,50,161
442,48,50,161
443,48,50,161
444,48,50,161
445,48,50,160
446,48,50,160
447,48,50,161
448,49,50,161
449,49,50,161
450,49,50,162
451,49,50,163
452,49,51,163
453,49,51,163
454,49,51,162
455,49,51,162
456,49,51,163
457,49,51,163
458,50,51,162
459,50,51,163
460,50,51,161
461,50,51,162
462,50,51,163
463,50,51,162
464,51,51,163
465,51,51,164
466,51,51,164
467,51,52,164
468,51,52,165
469,51,52,165
470,51,52,165
471,51,52,165
472,51,52,165
473,51,52,165
474,51,52,167
475,51,53,166
476,51,53,165
477,51,53,165
478,52,53,166
479,52,53,166
480,52,53,166
481,52,53,167
482,52,53,168
483,52,53,168
484,52,53,168
485,52,53,168
486,52,53,170
487,52,53,170
488,52,53,170
489,52,53,169
490,52,53,169
491,52,53,170
492,52,53,170
493,52,53,171
494,52,53,171
495,52,53,171
496,52,53,172
497,52,53,172
498,52,54,173
499,52,54,173
500,52,55,173
501,52,55,174
502,52,55,175
503,52,55,176
504,52,55,176
505,52,55,176
506,53,55,176
507,53,55,177
508,53,55,177
509,54,55,177
510,54,56,177
511,54,56,177
512,54,56,177
513,54,56,179
514,54,56,180
515,54,56,180
516,54,56,180
517,54,56,180
518,54,56,181
519,54,57,181
520,54,57,180
521,54,57,179
522,54,57,179
523,54,57,180
524,54,57,181
525,54,57,181
526,54,57,181
527,55,57,182
528,56,57,182
529,56,58,182
530,56,58,182
531,56,58,182
532,56,58,184
533,56,58,184
534,56,58,185
535,56,58,185
536,56,58,187
537,56,58,187
538,56,58,186
539,56,58,186
540,56,58,185
541,56,59,185
542,57,59,185
543,57,59,185
