Seconds,Orders Completed,Shipments Unloaded,Storages Used
0,0,0,1
1,0,0,3
2,0,0,4
3,0,0,4
4,0,0,6
5,0,0,7
6,0,1,7
7,1,1,9
8,1,1,11
9,1,2,11
10,1,3,12
11,2,3,12
12,2,3,13
13,2,3,14
14,2,3,16
15,2,3,18
16,2,3,20
17,2,3,20
18,2,3,22
19,2,4,22
20,2,4,22
21,2,5,23
22,2,5,24
23,2,5,25
24,3,6,25
25,3,6,26
26,3,6,25
27,4,6,27
28,4,6,28
29,4,6,29
30,4,6,30
31,4,7,32
32,4,7,32
33,4,7,33
34,4,7,34
35,4,7,34
36,4,7,34
37,4,7,35
38,4,7,35
39,4,8,35
40,4,8,36
41,5,8,36
42,6,8,37
43,6,8,38
44,6,9,39
45,6,9,40
46,6,9,41
47,6,10,42
48,6,10,42
49,6,10,44
50,6,10,44
51,6,10,45
52,6,10,46
53,6,10,45
54,6,10,46
55,6,10,45
56,6,10,45
57,7,10,46
58,8,10,45
59,8,10,47
60,8,11,47
61,8,11,49
62,8,11,49
63,8,11,50
64,8,12,50
65,8,12,51
66,8,12,52
67,8,12,53
68,8,12,54
69,8,12,54
70,8,12,54
71,8,12,54
72,9,12,53
73,9,13,53
74,9,14,53
75,10,14,55
76,10,14,56
77,10,14,56
78,10,14,58
79,10,14,58
80,10,14,60
81,10,14,60
82,10,14,61
83,10,14,61
84,10,14,61
85,10,14,62
86,10,14,62
87,10,14,62
88,10,14,62
89,11,15,62
90,12,15,61
91,12,15,63
92,12,16,63
93,12,16,63
94,12,16,65
95,12,17,65
96,12,17,66
97,12,17,68
98,12,17,68
99,12,17,69
100,12,17,70
101,12,17,70
102,12,17,70
103,12,17,70
104,12,17,70
105,12,17,70
106,12,17,70
107,12,17,70
108,13,17,71
109,13,18,72
110,13,18,72
111,13,18,73
112,14,19,74
113,14,19,74
114,14,19,76
115,14,19,77
116,14,19,77
117,14,19,78
118,14,19,79
119,14,19,79
120,14,19,79
121,14,19,80
122,15,20,80
123,15,20,79
124,16,20,79
125,16,21,79
126,16,21,79
127,16,21,79
128,16,21,81
129,16,21,82
130,16,21,83
131,16,21,84
132,16,21,85
133,16,21,85
134,16,21,85
135,16,21,85
136,16,22,85
137,17,22,84
138,17,22,84
139,18,22,84
140,18,22,84
141,18,22,86
142,18,22,87
143,18,22,88
144,18,22,89
145,18,23,90
146,18,23,90
147,18,23,91
148,18,24,91
149,18,24,91
150,18,24,91
151,18,24,90
152,19,24,90
153,19,24,90
154,20,25,91
155,20,25,91
156,20,25,93
157,20,25,93
158,20,25,94
159,20,25,95
160,20,25,95
161,20,25,96
162,20,25,97
163,20,25,96
164,20,25,97
165,20,26,97
166,21,26,96
167,21,26,95
168,22,26,95
169,22,26,96
170,22,26,97
171,22,26,98
172,22,26,100
173,22,26,101
174,22,26,101
175,22,27,103
176,22,27,103
177,22,27,102
178,22,27,103
179,23,28,102
180,23,28,102
181,23,29,102
182,24,29,101
183,24,29,102
184,24,29,103
185,24,29,104
186,24,29,104
187,24,29,106
188,24,29,106
189,24,29,107
190,24,29,108
191,24,29,107
192,24,29,107
193,25,30,107
194,25,30,106
195,25,30,106
196,26,30,106
197,26,30,107
198,26,30,109
199,26,30,109
200,26,30,110
201,26,30,111
202,26,30,111
203,26,30,111
204,26,30,112
205,26,30,111
206,26,30,111
207,26,30,112
208,27,31,111
209,27,31,110
210,28,31,110
211,28,32,111
212,28,32,111
213,28,32,111
214,28,32,113
215,28,33,113
216,28,33,114
217,28,33,115
218,28,33,115
219,28,33,115
220,28,33,115
221,29,33,114
222,29,33,114
223,29,33,115
224,30,34,115
225,30,34,115
226,30,34,115
227,30,34,116
228,30,34,117
229,30,34,117
230,30,34,118
231,30,34,119
232,30,35,119
233,30,35,118
234,30,35,118
235,31,35,118
236,31,35,118
237,31,35,117
238,32,35,118
239,32,35,118
240,32,35,119
241,32,35,119
242,32,36,121
243,32,36,121
244,32,36,122
245,32,36,123
246,32,36,123
247,32,36,122
248,33,36,123
249,33,36,122
250,33,36,123
251,34,36,122
252,34,36,124
253,34,37,124
254,34,37,124
255,34,37,125
256,34,37,126
257,34,37,126
258,34,37,127
259,34,37,126
260,34,37,126
261,35,37,126
262,35,37,126
263,36,37,125
264,36,37,125
265,36,37,126
266,36,37,127
267,36,37,128
268,36,38,128
269,36,38,128
270,36,38,129
271,36,39,130
272,36,39,130
273,36,40,129
274,37,40,128
275,37,40,128
276,37,40,127
277,38,40,128
278,38,40,129
279,38,40,130
280,38,40,131
281,38,40,131
282,38,41,131
283,38,41,132
284,38,41,133
285,38,41,133
286,38,41,133
287,38,41,133
288,39,41,133
289,39,41,133
290,40,41,132
291,40,41,133
292,40,41,133
293,40,41,133
294,40,41,135
295,40,42,135
296,40,42,136
297,40,42,137
298,40,42,137
299,40,42,137
300,40,42,136
301,41,42,136
302,41,42,135
303,41,42,135
304,42,42,135
305,42,42,136
306,42,42,137
307,42,42,137
308,42,42,138
309,42,42,138
310,42,42,139
311,42,43,140
312,42,44,140
313,42,44,138
314,43,44,137
315,43,44,137
316,43,44,137
317,44,45,137
318,44,45,137
319,44,45,138
320,44,45,139
321,44,45,140
322,44,45,140
323,44,45,142
324,44,45,142
325,44,45,142
326,44,45,142
327,45,45,141
328,45,45,141
329,45,45,141
330,45,45,141
331,45,46,141
332,46,46,141
333,46,46,141
334,46,46,141
335,46,46,143
336,46,46,143
337,46,46,144
338,46,47,144
339,46,47,143
340,46,47,143
341,47,47,144
342,47,47,144
343,47,47,144
344,48,47,144
345,48,47,144
346,48,47,145
347,48,47,145
348,48,47,146
349,48,47,147
350,48,47,148
351,48,47,148
352,48,47,148
353,48,47,148
354,49,47,148
355,49,48,147
356,49,48,146
357,50,48,146
358,50,48,146
359,50,49,147
360,50,49,147
361,50,49,148
362,50,49,148
363,50,49,149
364,50,49,150
365,50,50,150
366,50,50,149
367,50,50,149
368,51,50,148
369,51,50,149
370,51,50,148
371,51,50,149
372,52,50,149
373,52,50,150
374,52,50,151
375,52,50,151
376,52,50,152
377,52,51,153
378,52,51,153
379,52,51,153
380,52,51,152
381,52,52,153
382,53,52,152
383,53,52,153
384,53,52,152
385,53,52,152
386,54,52,153
387,54,52,153
388,54,52,154
389,54,52,154
390,54,52,155
391,54,52,155
392,54,52,156
393,54,52,156
394,54,52,155
395,55,52,155
396,55,52,155
397,55,53,154
398,56,53,154
399,56,53,154
400,56,53,154
401,56,53,155
402,56,53,156
403,56,53,157
404,56,53,157
405,56,53,159
406,56,53,159
407,56,54,157
408,56,54,157
409,57,55,157
410,57,55,156
411,57,55,156
412,58,55,156
413,58,55,157
414,58,55,158
415,58,55,159
416,58,55,160
417,58,55,160
418,58,55,160
419,58,55,161
420,58,55,161
421,58,55,161
422,58,55,161
423,59,56,161
424,59,56,160
425,59,56,161
426,59,56,160
427,59,56,161
428,60,57,161
429,60,57,162
430,60,57,163
431,60,57,164
432,60,57,165
433,60,57,166
434,60,57,166
435,60,57,165
436,60,57,166
437,61,57,165
438,61,57,166
439,61,57,164
440,61,57,164
441,62,57,165
442,62,58,165
443,62,58,166
444,62,58,167
445,62,58,167
446,62,58,168
447,62,58,168
448,62,58,169
449,62,58,168
450,62,58,168
451,62,58,167
452,63,58,168
453,64,58,166
454,64,58,167
455,64,58,168
456,64,58,168
457,64,58,168
458,64,58,169
459,64,59,169
460,64,60,170
461,64,60,171
462,64,60,171
463,64,60,170
464,64,60,169
465,64,60,168
466,65,61,168
467,65,61,167
468,66,61,167
469,66,61,169
470,66,61,169
471,66,61,169
472,66,61,170
473,66,61,172
474,66,61,173
475,66,61,173
476,66,61,175
477,66,61,175
478,66,61,173
479,66,61,173
480,66,61,174
481,66,61,174
482,66,61,173
483,67,62,174
484,67,62,174
485,68,62,174
486,68,63,174
487,68,63,174
488,68,63,175
489,68,63,176
490,68,63,177
491,68,63,177
492,68,63,177
493,68,63,178
494,68,63,177
495,68,63,176
496,68,63,176
497,68,63,176
