Seconds,Orders Completed,Shipments Unloaded,Storages Used
0,0,0,0
1,0,0,2
2,1,0,2
3,1,0,2
4,2,0,2
5,2,0,6
6,2,0,6
7,2,3,9
8,2,3,12
9,2,3,12
10,2,3,12
11,2,3,16
12,2,4,18
13,2,4,20
14,2,4,19
15,3,4,16
16,4,4,14
17,4,4,14
18,4,4,15
19,4,5,18
20,4,5,21
21,4,5,24
22,4,6,26
23,4,7,28
24,4,7,31
25,4,7,33
26,4,8,35
27,4,8,35
28,4,8,32
29,5,8,31
30,6,8,30
31,6,8,31
32,6,8,34
33,6,9,36
34,6,9,39
35,6,9,42
36,6,10,43
37,6,10,46
38,6,11,47
39,6,11,49
40,6,11,50
41,6,11,49
42,6,11,49
43,7,11,48
44,8,11,47
45,8,11,47
46,8,11,50
47,8,13,51
48,8,13,54
49,8,13,56
50,8,13,57
51,8,13,60
52,8,14,62
53,8,14,66
54,8,14,66
55,8,14,65
56,9,14,61
57,9,14,61
58,10,14,60
59,10,14,60
60,10,14,65
61,10,16,65
62,10,16,67
63,10,16,68
64,10,16,69
65,10,16,71
66,10,17,72
67,10,17,76
68,10,17,76
69,10,17,74
70,11,17,73
71,12,17,70
72,12,17,70
73,12,17,71
74,12,18,72
75,12,19,74
76,12,19,77
77,12,19,78
78,12,19,79
79,12,19,80
80,12,19,84
81,12,19,85
82,12,19,84
83,12,19,82
84,13,19,81
85,13,19,80
86,14,20,81
87,14,20,84
88,14,21,85
89,14,21,87
90,14,21,88
91,14,22,89
92,14,22,92
93,14,22,93
94,14,22,95
95,14,22,96
96,14,23,96
97,15,23,95
98,15,23,95
99,15,23,95
100,15,23,95
101,16,23,95
102,16,23,97
103,16,23,99
104,16,25,100
105,16,25,104
106,16,26,105
107,16,26,106
108,16,26,108
109,16,26,107
110,17,26,107
111,17,26,108
112,17,26,109
113,17,26,110
114,17,26,110
115,17,26,111
116,18,26,110
117,18,26,111
118,18,27,111
119,18,27,113
120,18,27,116
121,18,27,116
122,18,27,116
123,18,27,114
124,19,28,115
125,19,28,116
126,19,28,117
127,19,29,119
128,19,29,120
129,19,29,121
130,19,29,120
131,20,29,119
132,20,30,120
133,20,30,122
134,20,31,124
135,20,31,124
136,20,31,124
137,20,31,124
138,20,31,124
139,21,31,124
140,21,31,125
141,21,31,128
142,21,31,129
143,21,31,129
144,22,31,127
145,22,32,127
146,22,32,127
147,22,33,128
148,22,33,132
149,22,33,133
150,22,33,133
151,22,33,134
152,22,34,134
153,23,34,134
154,23,34,134
155,23,34,136
156,23,34,139
157,23,34,139
158,24,34,138
159,24,34,139
160,24,35,139
161,24,35,143
162,24,36,144
163,24,36,146
164,24,36,146
165,24,36,148
166,24,36,147
167,24,36,147
168,25,37,147
169,25,37,148
170,25,37,148
171,26,37,149
172,26,37,149
173,26,38,150
174,26,38,152
175,26,38,152
176,26,38,155
177,26,38,155
178,26,39,156
179,26,39,158
180,26,39,158
181,26,39,159
182,26,39,159
183,27,39,157
184,28,39,155
185,28,39,156
186,28,40,158
187,28,40,159
188,28,40,162
189,28,40,164
190,28,40,164
191,28,41,164
192,28,41,168
193,28,41,170
194,28,41,170
195,29,41,167
196,29,41,166
197,29,41,165
198,30,42,166
199,30,42,167
200,30,43,169
201,30,43,171
202,30,43,172
203,30,44,173
204,30,44,175
205,30,44,175
206,30,44,176
207,30,44,177
208,30,44,178
209,30,44,177
210,30,44,176
211,31,44,174
212,32,45,174
213,32,45,176
214,32,45,177
215,32,45,179
216,32,45,181
217,32,46,181
218,32,46,181
219,32,47,184
220,32,47,185
221,32,47,185
222,32,47,187
223,32,47,189
224,32,47,189
225,32,47,188
226,32,47,187
227,32,47,187
228,32,47,187
229,34,47,185
230,34,47,186
231,34,47,189
232,34,48,189
233,34,48,192
234,34,49,192
235,34,49,195
236,34,50,195
237,34,50,196
238,34,50,197
239,34,50,199
240,34,50,199
241,34,50,200
242,34,50,200
243,34,50,200
244,35,50,198
245,35,50,198
246,36,50,197
247,36,50,197
248,36,51,199
249,36,51,200
250,36,51,202
251,36,51,204
252,36,51,204
253,36,52,204
254,36,52,205
255,36,52,208
256,36,52,209
257,36,52,209
258,36,52,207
259,37,52,205
260,37,52,204
261,38,52,204
262,38,53,205
263,38,53,209
264,38,53,209
265,38,53,210
266,38,54,211
267,38,55,213
268,38,55,215
269,38,55,216
270,38,55,217
271,38,55,218
272,38,55,217
273,38,55,216
274,39,55,214
275,40,55,214
276,40,55,214
277,40,56,215
278,40,56,216
279,40,57,220
280,40,57,221
281,40,57,221
282,40,57,223
283,40,57,224
284,40,58,226
285,40,58,226
286,40,58,225
287,40,58,227
288,40,58,227
289,41,58,226
290,41,58,226
291,42,58,225
292,42,58,226
293,42,58,226
294,42,58,228
295,42,58,231
296,42,59,232
297,42,59,233
298,42,60,234
299,42,60,236
300,42,60,237
301,42,60,236
302,42,60,236
303,42,60,236
304,42,60,236
305,42,60,236
306,43,61,233
307,44,61,233
308,44,61,234
309,44,62,236
310,44,62,236
311,44,62,236
312,44,62,238
313,44,62,241
314,44,62,241
315,44,62,244
316,44,62,244
317,44,62,244
318,44,62,246
319,44,62,249
320,44,62,249
321,44,62,247
322,45,62,246
323,45,62,245
324,45,62,245
325,45,63,244
326,46,63,244
327,46,63,246
328,46,64,249
329,46,64,249
330,46,65,249
331,46,65,249
332,46,65,252
333,46,65,253
334,46,65,253
335,46,65,254
336,46,65,255
337,46,65,255
338,47,65,251
339,47,65,250
340,48,65,250
341,48,66,252
342,48,66,253
343,48,66,255
344,48,66,256
345,48,67,258
346,48,67,260
347,48,67,260
348,48,67,261
349,48,67,263
350,48,67,264
351,48,67,262
352,49,67,262
353,49,67,262
354,50,68,260
355,50,68,260
356,50,68,260
357,50,68,262
358,50,68,264
359,50,68,264
360,50,68,265
361,50,69,268
362,50,70,269
363,50,70,269
364,50,70,270
365,50,70,272
366,50,70,273
367,50,70,271
368,50,70,270
369,51,70,269
370,51,70,268
371,52,70,270
372,52,71,271
373,52,71,272
374,52,71,273
375,52,71,274
376,52,71,277
377,52,71,277
378,52,71,277
379,52,72,278
380,52,72,279
381,52,72,280
382,52,72,278
383,52,72,279
384,52,72,279
385,53,72,278
386,53,72,278
387,54,72,277
388,54,72,278
389,54,73,280
390,54,74,280
391,54,74,283
392,54,74,284
393,54,74,284
394,54,75,285
395,54,75,286
396,54,75,288
397,54,75,288
398,54,75,288
399,54,75,288
400,55,75,286
401,56,75,285
402,56,75,285
403,56,75,287
404,56,75,287
405,56,75,289
406,56,75,289
407,56,75,291
408,56,76,294
409,56,77,294
410,56,77,296
411,56,78,296
412,56,78,296
413,56,78,298
414,56,78,297
415,56,78,296
416,58,78,294
417,58,78,294
418,58,78,294
419,58,79,296
420,58,79,298
421,58,79,300
422,58,79,302
423,58,79,302
424,58,79,303
425,58,79,303
426,58,79,304
427,58,79,307
428,58,79,308
429,58,79,308
430,58,79,306
431,58,79,304
432,60,79,303
433,60,79,303
434,60,79,304
435,60,80,304
436,60,80,308
437,60,81,309
438,60,82,310
439,60,82,310
440,60,82,312
441,60,82,313
442,60,82,315
443,60,82,315
444,60,82,315
445,60,82,313
446,60,82,313
447,60,82,312
448,62,82,312
449,62,82,313
450,62,83,314
451,62,84,316
452,62,84,317
453,62,84,317
454,62,84,318
455,62,84,320
456,62,84,321
457,62,84,322
458,62,84,323
459,62,84,324
460,62,84,323
461,62,84,322
462,63,84,321
463,64,85,321
464,64,86,323
465,64,86,323
466,64,86,324
467,64,86,327
468,64,86,329
469,64,87,329
470,64,87,329
471,64,87,331
472,64,87,331
473,64,87,332
474,64,87,332
475,64,87,333
476,64,87,331
477,64,87,331
478,66,87,329
479,66,88,329
480,66,88,330
481,66,88,331
482,66,88,331
483,66,88,331
484,66,89,333
485,66,89,336
486,66,89,337
487,66,89,338
488,66,89,338
489,66,89,340
490,66,89,340
491,66,89,339
492,66,89,339
493,66,89,337
494,68,90,339
495,68,90,339
496,68,90,341
497,68,90,341
498,68,90,342
499,68,91,343
500,68,92,344
501,68,92,345
502,68,92,346
503,68,92,346
504,68,92,349
505,68,92,350
506,68,92,350
507,68,92,349
508,69,92,348
509,69,92,347
510,70,92,346
511,70,92,347
512,70,92,349
513,70,92,350
514,70,92,350
515,70,92,351
516,70,94,352
517,70,94,354
518,70,94,355
519,70,94,355
520,71,94,355
521,71,94,355
522,71,94,354
523,71,94,353
524,72,94,352
525,72,94,353
526,72,94,354
527,72,95,355
528,72,96,357
529,72,96,357
530,72,96,359
531,72,96,360
532,72,96,360
533,72,96,360
534,72,96,360
535,73,96,360
536,73,96,359
537,73,96,358
538,74,96,359
539,74,97,360
540,74,97,361
541,74,97,363
542,74,97,363
543,74,98,364
