Seconds,Orders Completed,Shipments Unloaded,Storages Used
0,0,0,4
1,0,1,5
2,0,1,6
3,0,1,7
4,2,1,8
5,2,3,10
6,2,3,13
7,2,4,13
8,2,4,18
9,2,5,22
10,2,5,24
11,2,5,27
12,2,5,28
13,2,7,34
14,2,7,36
15,2,7,35
16,2,7,32
17,2,7,32
18,2,7,31
19,4,7,31
20,4,7,32
21,4,7,35
22,4,8,40
23,4,8,41
24,4,9,44
25,4,9,46
26,4,10,48
27,4,10,51
28,4,11,53
29,4,11,55
30,4,11,56
31,4,11,54
32,5,11,54
33,6,11,53
34,6,12,55
35,6,12,57
36,6,13,61
37,6,13,62
38,6,13,65
39,6,14,66
40,6,14,70
41,6,15,72
42,6,15,75
43,6,15,76
44,6,16,75
45,7,16,74
46,7,16,73
47,8,16,73
48,8,17,75
49,8,17,79
50,8,17,80
51,8,17,84
52,8,18,87
53,8,18,89
54,8,18,89
55,8,19,93
56,8,20,95
57,8,20,95
58,8,20,94
59,9,20,93
60,10,20,91
61,10,20,92
62,10,20,95
63,10,21,98
64,10,21,99
65,10,21,100
66,10,22,102
67,10,22,106
68,10,22,106
69,10,23,108
70,10,23,109
71,10,23,109
72,10,23,107
73,11,23,107
74,11,23,106
75,12,23,106
76,12,24,107
77,12,24,108
78,12,24,111
79,12,25,114
80,12,25,114
81,12,26,116
82,12,26,119
83,12,26,121
84,12,26,121
85,12,26,121
86,13,26,121
87,14,26,119
88,14,26,119
89,14,27,119
90,14,28,120
91,14,28,125
92,14,28,127
93,14,28,127
94,14,28,131
95,14,29,132
96,14,29,134
97,14,29,134
98,14,29,134
99,14,29,136
100,14,29,136
101,14,29,135
102,15,29,134
103,16,30,134
104,16,31,136
105,16,32,139
106,16,32,140
107,16,32,144
108,16,32,146
109,16,33,146
110,16,33,150
111,16,33,151
112,16,33,152
113,16,33,155
114,16,33,155
115,17,33,155
116,17,33,154
117,17,33,153
118,18,33,152
119,18,34,153
120,18,35,157
121,18,35,158
122,18,35,160
123,18,37,161
124,18,37,164
125,18,37,167
126,18,37,168
127,18,37,168
128,18,37,169
129,19,37,169
130,19,37,168
131,19,38,167
132,20,38,168
133,20,38,168
134,20,39,171
135,20,39,173
136,20,39,176
137,20,39,179
138,20,39,179
139,20,40,179
140,20,40,181
141,20,40,181
142,21,41,183
143,21,41,185
144,21,41,185
145,21,41,184
146,21,41,185
147,22,41,185
148,22,42,187
149,22,42,189
150,22,42,190
151,22,42,194
152,22,42,195
153,22,43,195
154,22,43,195
155,23,44,195
156,23,44,195
157,23,45,196
158,23,45,198
159,23,45,199
160,23,45,199
161,24,45,201
162,24,46,201
163,24,46,203
164,24,46,204
165,24,46,205
166,24,46,208
167,24,46,208
168,24,46,209
169,24,46,209
170,25,46,208
171,25,47,208
172,25,47,208
173,25,47,209
174,26,47,209
175,26,48,210
176,26,48,211
177,26,49,214
178,26,49,215
179,26,49,215
180,26,49,218
181,26,50,218
182,26,50,219
183,26,50,221
184,26,50,221
185,27,50,219
186,27,50,218
187,27,50,218
188,28,50,217
189,28,50,218
190,28,50,221
191,28,51,222
192,28,51,226
193,28,51,226
194,28,52,227
195,28,53,230
196,28,53,233
197,28,53,232
198,29,53,231
199,29,53,230
200,29,53,230
201,29,53,230
202,30,53,230
203,30,53,231
204,30,53,233
205,30,54,235
206,30,54,239
207,30,54,239
208,30,55,241
209,30,56,241
210,30,56,242
211,30,56,244
212,31,56,244
213,31,56,244
214,31,56,244
215,31,56,244
216,32,56,246
217,32,56,248
218,32,57,249
219,32,57,250
220,32,58,251
221,32,58,254
222,32,59,254
223,32,59,255
224,32,59,257
225,32,59,258
226,33,59,258
227,33,59,257
228,33,59,258
229,33,59,259
230,34,59,260
231,34,60,261
232,34,61,263
233,34,62,265
234,34,62,267
235,34,62,268
236,34,62,271
237,34,62,271
238,34,62,271
239,35,62,273
240,35,62,272
241,36,63,270
242,36,63,270
243,36,63,271
244,36,64,272
245,36,64,272
246,36,64,276
247,36,64,279
248,36,64,280
249,36,64,281
250,36,65,282
251,36,65,284
252,36,65,283
253,36,65,282
254,37,65,282
255,38,65,282
256,38,65,282
257,38,65,283
258,38,67,284
259,38,67,284
260,38,67,285
261,38,67,291
262,38,68,291
263,38,68,291
264,38,68,292
265,38,68,294
266,38,68,298
267,38,68,298
268,38,68,296
269,38,68,295
270,38,69,293
271,40,69,295
272,40,69,297
273,40,70,299
274,40,70,301
275,40,71,302
276,40,71,303
277,40,71,305
278,40,71,306
279,40,71,308
280,40,71,311
281,40,71,312
282,40,71,312
283,40,71,312
284,41,71,312
285,41,72,312
286,42,72,310
287,42,72,310
288,42,74,310
289,42,74,312
290,42,74,315
291,42,74,317
292,42,74,318
293,42,74,319
294,42,74,321
295,42,74,321
296,42,74,321
297,42,74,322
298,42,74,323
299,42,74,322
300,42,74,322
301,44,74,320
302,44,75,320
303,44,75,324
304,44,76,324
305,44,77,325
306,44,77,327
307,44,77,328
308,44,77,330
309,44,77,332
310,44,77,335
311,44,77,336
312,44,77,336
313,44,78,334
314,45,78,336
315,45,78,336
316,46,79,337
317,46,79,337
318,46,79,337
319,46,79,339
320,46,80,341
321,46,80,342
322,46,80,342
323,46,81,345
324,46,81,346
325,46,81,347
326,46,81,347
327,46,81,348
328,46,81,347
329,46,81,347
330,48,81,346
331,48,81,346
332,48,81,347
333,48,81,348
334,48,81,349
335,48,81,351
336,48,82,353
337,48,82,355
338,48,82,357
339,48,84,357
340,48,84,359
341,48,84,359
342,48,84,359
343,48,84,361
344,48,84,361
345,48,84,361
346,50,84,359
347,50,84,360
348,50,85,362
349,50,85,362
350,50,85,363
351,50,86,363
352,50,86,364
353,50,86,366
354,50,86,370
355,50,87,371
356,50,87,371
357,50,87,371
358,50,87,371
359,50,87,372
360,51,87,371
361,51,87,371
362,52,87,371
363,52,87,371
364,52,88,372
365,52,88,374
366,52,88,375
367,52,88,378
368,52,89,379
369,52,89,380
370,52,90,382
371,52,90,382
372,52,90,382
373,52,90,382
374,52,90,381
375,54,90,380
376,54,90,381
377,54,91,381
378,54,91,383
379,54,91,384
380,54,91,385
381,54,92,386
382,54,92,389
383,54,92,391
384,54,92,391
385,54,92,393
386,54,92,394
387,54,92,393
388,54,92,394
389,55,92,394
390,55,92,393
391,56,93,393
392,56,93,395
393,56,94,397
394,56,95,397
395,56,95,398
396,56,95,398
397,56,95,400
398,56,95,402
399,56,95,403
400,56,95,403
401,56,95,402
402,56,95,402
403,57,95,403
404,57,95,403
405,58,95,402
406,58,95,402
407,58,96,405
408,58,97,405
409,58,97,405
410,58,97,406
411,58,98,408
412,58,98,409
413,58,98,412
414,58,98,413
415,58,98,413
416,58,98,412
417,58,98,412
418,58,98,411
419,59,98,411
420,60,98,410
421,60,98,411
422,60,98,415
423,60,98,416
424,60,98,416
425,60,99,416
426,60,99,418
427,60,99,421
428,60,100,421
429,60,101,423
430,60,101,423
431,60,101,423
432,60,101,420
433,61,101,421
434,61,101,422
435,62,101,422
436,62,101,424
437,62,102,426
438,62,102,428
439,62,102,428
440,62,103,430
441,62,103,431
442,62,104,432
443,62,104,433
444,62,104,435
445,62,104,435
446,62,104,435
447,63,104,434
448,64,104,433
449,64,104,434
450,64,104,435
451,64,105,437
452,64,105,437
453,64,105,437
454,64,105,437
455,64,105,440
456,64,105,441
457,64,105,443
458,64,105,443
459,64,105,444
460,64,105,443
461,64,105,442
462,66,106,442
463,66,106,443
464,66,107,443
465,66,108,443
466,66,108,443
467,66,108,444
468,66,108,446
469,66,108,450
470,66,108,452
471,66,108,453
472,66,108,454
473,66,108,454
474,66,108,454
475,67,108,453
476,67,108,454
477,68,108,453
478,68,110,455
479,68,110,456
480,68,110,456
481,68,111,456
482,68,111,458
483,68,111,461
484,68,111,461
485,68,111,464
486,68,111,464
487,68,111,465
488,68,111,465
489,69,111,465
490,69,111,463
491,70,111,464
492,70,111,464
493,70,113,467
494,70,113,467
495,70,113,467
496,70,114,467
497,70,114,469
498,70,114,472
499,70,114,472
500,70,114,473
501,70,114,472
502,71,114,472
503,71,114,472
504,71,114,472
505,72,114,471
506,72,114,472
507,72,115,475
508,72,115,475
509,72,115,476
510,72,116,476
511,72,116,476
512,72,116,477
513,72,116,481
514,72,116,481
515,72,116,482
516,72,116,480
517,72,116,480
518,74,116,478
519,74,116,478
520,74,116,479
521,74,117,483
522,74,118,484
523,74,118,484
524,74,118,485
525,74,119,485
526,74,119,487
527,74,119,487
528,74,119,491
529,74,119,491
530,74,119,491
531,74,119,491
532,75,119,490
533,75,119,490
534,76,121,489
535,76,122,490
536,76,122,492
537,76,124,493
538,76,124,494
539,76,126,495
540,76,126,497
541,76,126,498
542,76,126,499
543,76,126,500
544,76,126,499
545,76,126,496
546,77,126,495
547,77,126,494
548,78,128,494
549,78,130,496
550,78,131,499
551,78,132,499
552,78,132,500
553,78,132,500
554,78,132,500
555,78,132,500
556,78,132,500
557,78,132,500
558,78,132,499
559,79,132,496
560,79,132,495
561,80,132,494
562,80,132,494
563,80,132,494
564,80,135,494
565,80,135,496
566,80,137,496
567,80,137,500
568,80,138,500
569,80,138,500
570,80,138,500
571,80,140,497
572,81,140,498
573,81,140,498
574,81,140,497
575,82,141,496
576,82,141,496
577,82,144,498
578,82,145,499
579,82,145,499
580,82,145,500
581,82,146,500
582,82,146,500
583,82,146,500
584,82,146,498
585,83,146,497
586,83,147,497
587,83,149,497
588,83,149,497
589,83,149,497
590,84,150,496
591,84,153,498
592,84,155,499
593,84,155,500
594,84,155,500
595,84,155,500
596,84,155,500
597,84,155,499
598,85,155,497
599,85,155,497
600,85,155,497
