Seconds,Orders Completed,Shipments Unloaded,Storages Used
0,0,0,0
1,0,0,4
2,0,0,4
3,0,1,7
4,0,2,8
5,0,2,8
6,2,2,10
7,2,3,12
8,2,3,13
9,2,3,16
10,2,4,17
11,2,4,19
12,2,4,20
13,2,4,24
14,2,5,26
15,2,6,28
16,2,6,30
17,2,6,29
18,3,6,29
19,3,7,29
20,4,7,30
21,4,7,33
22,4,7,34
23,4,8,37
24,4,9,41
25,4,9,43
26,4,9,43
27,4,10,48
28,4,10,48
29,4,10,49
30,4,11,49
31,5,11,48
32,6,11,50
33,6,11,52
34,6,12,55
35,6,12,55
36,6,12,58
37,6,12,59
38,6,13,63
39,6,13,63
40,6,14,66
41,6,14,67
42,6,14,67
43,7,14,66
44,8,14,68
45,8,15,70
46,8,16,73
47,8,16,73
48,8,16,74
49,8,16,77
50,8,17,79
51,8,17,79
52,8,18,82
53,8,18,84
54,8,18,83
55,9,19,84
56,9,19,84
57,10,19,85
58,10,19,86
59,10,19,89
60,10,20,89
61,10,20,93
62,10,20,93
63,10,20,96
64,10,20,98
65,10,20,98
66,10,20,99
67,11,21,99
68,11,22,98
69,11,23,99
70,12,23,101
71,12,23,102
72,12,23,104
73,12,23,106
74,12,24,107
75,12,24,109
76,12,24,110
77,12,24,112
78,12,25,113
79,12,25,112
80,13,25,113
81,13,25,112
82,14,25,112
83,14,25,115
84,14,25,116
85,14,26,116
86,14,26,119
87,14,27,120
88,14,27,121
89,14,27,123
90,14,27,125
91,14,28,125
92,15,28,125
93,15,28,125
94,16,28,124
95,16,28,126
96,16,28,128
97,16,30,130
98,16,30,131
99,16,30,132
100,16,30,134
101,16,30,136
102,16,31,136
103,16,31,135
104,17,31,137
105,17,32,136
106,18,32,138
107,18,32,139
108,18,32,140
109,18,32,142
110,18,32,143
111,18,33,144
112,18,33,146
113,18,33,147
114,18,33,147
115,18,33,147
116,19,33,148
117,19,34,147
118,20,35,149
119,20,35,150
120,20,35,150
121,20,35,151
122,20,36,154
123,20,36,154
124,20,36,157
125,20,36,158
126,20,37,159
127,20,37,159
128,20,37,159
129,21,37,159
130,21,37,158
131,22,37,160
132,22,37,162
133,22,38,163
134,22,38,163
135,22,38,164
136,22,39,167
137,22,39,168
138,22,39,169
139,22,39,169
140,22,39,169
141,22,39,170
142,23,40,168
143,23,40,169
144,24,40,171
145,24,40,172
146,24,40,174
147,24,41,177
148,24,41,178
