Seconds,Orders Completed,Shipments Unloaded,Storages Used
0,0,0,1
1,0,0,5
2,1,1,8
3,1,1,11
4,1,3,12
5,1,3,14
6,1,4,17
7,1,4,19
8,1,5,21
9,1,5,24
10,2,6,28
11,2,6,32
12,2,7,34
13,2,7,35
14,3,7,38
15,3,8,39
16,3,8,41
17,3,9,45
18,3,10,49
19,3,10,51
20,3,11,54
21,3,11,55
22,3,11,55
23,4,11,56
24,4,11,57
25,4,11,58
26,4,11,59
27,5,12,62
28,5,12,65
29,5,14,66
30,5,14,67
31,5,15,70
32,5,15,75
33,5,16,75
34,5,16,77
35,5,16,79
36,6,16,80
37,6,16,82
38,6,17,83
39,6,17,87
40,6,18,87
41,7,18,88
42,7,19,89
43,7,19,94
44,7,20,94
45,7,20,98
46,7,20,100
47,7,20,101
48,7,20,103
49,8,20,103
50,8,21,105
51,8,21,105
52,8,22,110
53,8,23,110
54,9,23,111
55,9,24,112
56,9,24,114
57,9,24,118
58,9,25,121
59,9,25,122
60,9,26,123
61,9,26,123
62,9,26,127
63,9,26,127
64,10,26,127
65,10,26,130
66,10,26,131
67,10,27,131
68,11,28,133
69,11,28,136
70,11,29,138
71,11,29,140
72,11,30,140
73,11,30,145
74,11,30,146
75,11,31,146
76,12,31,149
77,12,31,150
78,12,31,152
79,12,31,153
80,13,31,155
81,13,31,155
82,13,33,155
83,13,33,155
84,13,33,161
85,13,34,163
86,13,34,164
87,13,34,165
88,14,34,166
89,14,34,167
90,14,35,170
91,14,36,170
92,14,36,172
93,14,36,173
94,15,36,175
95,15,37,176
96,15,37,177
97,15,37,178
98,15,38,182
99,15,38,183
100,15,39,183
101,16,39,184
102,16,39,186
103,16,39,188
104,16,39,190
105,16,39,190
106,17,39,192
107,17,40,193
108,17,41,194
109,17,42,195
110,17,42,198
111,17,42,200
112,17,42,202
113,17,42,202
114,18,43,203
115,18,43,203
116,18,44,203
117,18,44,205
118,18,44,206
119,19,44,208
120,19,44,210
121,19,44,211
122,19,44,212
123,19,44,215
124,19,45,217
125,19,46,218
126,19,46,218
127,20,47,219
128,20,47,221
129,20,47,221
130,20,48,222
131,20,48,224
132,21,48,224
133,21,49,225
134,21,49,227
135,21,49,228
136,21,49,231
137,21,50,232
138,21,50,232
139,22,50,234
140,22,50,235
141,22,50,236
142,22,50,237
143,22,51,237
144,22,51,240
145,22,52,241
146,23,52,242
147,23,52,244
148,23,53,246
149,23,53,246
150,23,53,247
151,23,53,250
152,23,53,251
153,24,53,252
154,24,55,252
155,24,55,252
156,24,55,254
157,24,55,255
158,24,55,258
159,24,56,258
160,25,56,259
161,25,56,260
162,25,56,262
163,25,56,263
164,25,57,265
165,25,57,265
166,26,57,268
167,26,57,268
168,26,58,268
169,26,59,269
170,26,59,272
171,26,59,271
172,26,59,272
173,27,59,273
174,27,59,274
175,27,59,274
176,27,59,275
177,27,59,278
178,27,59,280
179,28,61,280
180,28,61,282
181,28,62,284
182,28,62,286
183,28,62,287
184,28,63,287
185,28,63,287
186,29,63,291
187,29,63,291
188,29,63,291
189,29,63,291
190,29,63,293
191,29,63,296
192,29,63,297
193,29,64,297
194,30,64,298
195,30,65,298
196,30,66,299
197,30,66,298
198,30,66,300
